Name,Make,Model,State,Last Annual Mileage
Amy Delacruz,Dodge,Challenger,MA,18150
Collin Stevens,Dodge,Challenger,CT,10660
Jasmine Morris,Honda,Civic,ME,17163
John Lee,Volvo,142E,NY,10376
John Lee,Mazda,RX4b,NY,10183
John Lee,Dodge,Challenger,NY,16125
Melissa White,Cadillac,Fleetwood,NJ,14514
Karen Thomas,Volvo,142E,NJ,8692
Victoria Scott,Volvo,142E,CT,11560
Danny Gonzalez,Pontiac,Firebird,NJ,19910
Carol Schneider,Porsche,914-2,MA,13341
Beth Fox,Maserati,Bora,VT,17295
Beth Fox,Hornet,4,VT,13409
Michelle Murillo,Chrysler,Imperial,PA,18784
Jeffrey Day,Hornet,4,CT,14920
Jeffrey Day,Merc,280C,CT,17796
Joseph Bentley,Lotus,Europa,PA,8653
Tiffany Davis,Fiat,128,NJ,11968
Tiffany Davis,Ferrari,Dino,NJ,12521
Aaron Griffin,Hornet,4,RI,14510
Sean Green,Ford,Pantera,PA,17926
Martha Robinson,AMC,Javelin,NJ,15400
Martha Robinson,Ford,Pantera,NJ,13066
Thomas Rivers,Honda,Civic,CT,15001
Alex Hardy,Hornet,4,NY,10431
Kyle Hunt,Datsun,710,PA,19640
Isaac Rodriguez,Toyota,Corona,PA,9666
Steven Kidd,Dodge,Challenger,CT,18990
Steven Kidd,AMC,Javelin,CT,12443
Tina Hammond,Camaro,Z28,VT,16607
David Jackson,Pontiac,Firebird,NH,15232
Christian Hale,Duster,360,MA,12950
Holly Brown,Hornet,4,MA,8331
Rachel Chapman,Maserati,Bora,NJ,12471
Aaron Howard,Fiat,128,MA,19052
Samuel Cooke,Porsche,914-2,CT,15720
Brittany Bowman,Duster,360,CT,16242
Brittany Bowman,Maserati,Bora,CT,13699
Devon Brown,Honda,Civic,MA,19025
Sydney Flores,Merc,450SL,NH,16636
Michael Leach,Honda,Civic,VT,11727
Catherine Martinez,Honda,Civic,MA,12845
James Collins,Dodge,Challenger,VT,17033
Jay Bell,Fiat,128,NY,11909
Wendy Pacheco,Lincoln,Continental,MA,18576
Wendy Pacheco,Cadillac,Fleetwood,MA,10638
Linda Neal,Lincoln,Continental,MA,15812
Linda Neal,Duster,360,MA,9918
Patricia Smith,AMC,Javelin,MA,15126
Patricia Smith,Toyota,Corona,MA,17391
Scott Klein,Ferrari,Dino,NJ,8859
Tammy Morgan,Merc,240D,ME,19955
April Long,Datsun,710,NY,19104
Nicole Petty,Mazda,RX4b,NJ,18858
Daniel Myers,Porsche,914-2,NY,12119
Daniel Myers,Datsun,710,NY,17344
Jeffrey Joseph,Merc,240D,NJ,16998
Jeffrey Joseph,Volvo,142E,NJ,9504
Scott James,Datsun,710,NJ,18931
Heather Jenkins,Lotus,Europa,NY,11885
Heather Jenkins,Cadillac,Fleetwood,NY,11454
Brianna Lee,Datsun,710,RI,9337
Daniel Huber,Maserati,Bora,CT,8046
Larry Allen,Honda,Civic,NY,19959
Kathleen Salazar,Lotus,Europa,ME,10004
Steve Campbell,Mazda,RX4,NJ,17412
Steve Campbell,Duster,360,NJ,8095
Brad Craig,Camaro,Z28,CT,17755
Kelsey Miller,Cadillac,Fleetwood,MA,15456
Kelsey Miller,Hornet,4,MA,15982
Vickie Reynolds,Fiat,X1-9,NY,17198
Cynthia Goodman,Toyota,Corolla,NJ,13302
Kara Davis,Porsche,914-2,VT,10564
Shannon Robinson,Merc,450SLC,CT,12161
Shannon Robinson,Camaro,Z28,CT,19738
Stephanie Gill,Chrysler,Imperial,CT,11021
Michael Fletcher,Porsche,914-2,ME,15050
Sara Davis,Camaro,Z28,NY,12265
Amy Harris,Cadillac,Fleetwood,NJ,14964
Amy Harris,Mazda,RX4,NJ,13813
David Fields,Fiat,128,NY,18030
Heather Deleon,Camaro,Z28,ME,17857
Brenda Robinson,Merc,280,ME,14897
Shawna Lambert,Duster,360,NY,14276
Kendra Lee,Honda,Civic,CT,16961
Ashley Garza,Hornet,4,MA,9801
Richard Rosales,Cadillac,Fleetwood,NY,11293
Laura Davis,Toyota,Corona,PA,12422
Lori Douglas,Lincoln,Continental,NY,12096
Alex Lewis,Ferrari,Dino,NY,13051
Hannah Jackson,Merc,280C,ME,16175
Hannah Jackson,Merc,280C,ME,8578
Jacob Maxwell,Datsun,710,NY,9197
Chelsea Gregory,Lincoln,Continental,NY,9108
Chelsea Gregory,Dodge,Challenger,NY,12507
Ana Salazar,Datsun,710,MA,14940
Kathleen Lloyd,Ferrari,Dino,PA,12486
William Gilbert,Datsun,710,NY,10569
William Gilbert,Fiat,X1-9,NY,19517
Christopher Stuart,Honda,Civic,NY,15330
Veronica Rodriguez,Fiat,128,NY,12624
Patricia Gutierrez,Mazda,RX4,NY,15658
Jonathan Marshall,Lotus,Europa,PA,15217
Douglas Ball,Duster,360,NJ,15042
Gregory Arnold,Chrysler,Imperial,NJ,13696
Gregory Arnold,Porsche,914-2,NJ,12696
Caitlin Hendricks,Ferrari,Dino,NY,18349
Manuel Lopez,Pontiac,Firebird,NH,13862
Ryan Sandoval,Honda,Civic,NH,14373
Nicole Davis,Cadillac,Fleetwood,PA,11405
Traci Boone,Ford,Pantera,MA,19140
Traci Boone,Cadillac,Fleetwood,MA,13963
Brenda Roman,Ford,Pantera,MA,18196
Corey Harrison,Ferrari,Dino,CT,19388
Zachary Reed,Cadillac,Fleetwood,CT,11893
Zachary Reed,Hornet,4,CT,19776
Teresa Hammond,Pontiac,Firebird,NY,18319
Alec Frazier,Dodge,Challenger,RI,17004
Paul Hughes,Mazda,RX4,NY,14120
Amanda Mckenzie,Porsche,914-2,RI,17291
Julia Kelly,Dodge,Challenger,NJ,11724
Christopher Meyer,AMC,Javelin,NY,12350
Shawn Smith,Lotus,Europa,NY,12962
Timothy Simmons,Merc,240D,NY,16059
Andrea Crosby,Pontiac,Firebird,ME,15873
James Pierce,Porsche,,PA,17771
Cynthia Mueller,Volvo,142E,NY,18904
Cynthia Mueller,Merc,240D,NY,18106
Sandra Franco,Duster,360,NH,17562
Sandra Franco,Ford,Pantera,NH,12774
Sandra Franco,Lincoln,Continental,NH,9545
Helen Nelson,Toyota,Corolla,NY,15844
Christopher Gutierrez,AMC,Javelin,NY,11018
Daniel Stewart,Ford,,CT,17603
Daniel Stewart,Porsche,914-2,CT,19889
Jessica Green,Porsche,914-2,NY,13943
Gabriela Hall,Cadillac,Fleetwood,NY,16506
Kimberly Fisher,Mazda,RX4b,PA,9435
Andrea Allen,Merc,280C,NY,11740
Lisa Mckay,Camaro,Z28,VT,18964
Ryan Medina,Maserati,Bora,NJ,11477
Ryan Medina,Hornet,Sportabout,NJ,9099
Laura Ramirez,Duster,360,VT,9941
Gabriel Fernandez,Ford,Pantera,PA,8343
Michael Hudson,Honda,Civic,NJ,16669
Lynn Smith,Lotus,Europa,NJ,15145
Robert Brown,Camaro,Z28,MA,19925
Edward Dawson,Lincoln,Continental,MA,14273
Edward Dawson,Pontiac,,MA,17493
Paul Cruz,Volvo,142E,NJ,18650
Linda Weaver,Toyota,Corona,PA,11087
Anna Cruz,Lotus,Europa,NY,15690
Linda Lyons,Maserati,Bora,NY,8289
Linda Lyons,Volvo,142E,NY,9043
Linda Lyons,Ferrari,Dino,NY,16255
Justin Turner,Porsche,914-2,NY,16344
Justin Turner,Lincoln,Continental,NY,17543
Michael Goodman,Duster,360,MA,15214
Michael Goodman,Datsun,710,MA,18529
Michael Goodman,Porsche,914-2,MA,9774
Vickie Beck,Dodge,Challenger,RI,15648
Michael Yang,Lincoln,Continental,ME,10772
Elizabeth Mckinney,Fiat,X1-9,NJ,14098
Rose Lee,Chrysler,Imperial,RI,17357
Cameron Moore,Honda,Civic,NY,8206
Douglas Krueger,Honda,Civic,NY,9026
Brittany Wood,Fiat,128,NH,14951
Brittany Wood,Lincoln,Continental,NH,17765
Melissa Martinez,Honda,Civic,MA,16002
Tiffany Cook,Lincoln,Continental,MA,17869
Tiffany Cook,Volvo,142E,MA,13702
Anthony Roberts,Mazda,RX4,NY,12872
Jessica Lang,Hornet,4,NJ,8658
Donna Wilson,Hornet,4,NY,8259
Corey Jordan,Fiat,128,NJ,12409
Brian Henderson,Lotus,Europa,NY,15864
Jason Weaver,Chrysler,Imperial,VT,14167
Michael Daniels,Chrysler,Imperial,NY,12195
Blake Evans,Volvo,142E,NY,10445
Blake Evans,AMC,Javelin,NY,11622
Blake Evans,Lincoln,Continental,NY,19630
Gabriel Stephens,Hornet,4,ME,15087
Nancy Coffey,Fiat,128,CT,9959
Shirley Andrews,Pontiac,Firebird,NH,9157
Daniel Guerra,Ferrari,Dino,NJ,14399
Keith Sanchez,Lincoln,Continental,PA,13568
Kimberly Walker,Lincoln,Continental,CT,16947
Samantha Stewart,Dodge,Challenger,NY,13239
James Warren,Camaro,Z28,PA,19758
Stephanie Gordon,AMC,Javelin,NY,13162
Ashley Lee,Dodge,Challenger,MA,18427
Maria Torres,Camaro,Z28,MA,10939
Amy Ashley,Mazda,RX4,PA,17776
Nathan Jackson,Maserati,Bora,CT,13726
Nathan Jackson,Camaro,Z28,CT,11451
David Myers,Toyota,Corolla,VT,9831
David Myers,Porsche,914-2,VT,10934
Ralph Thompson,Merc,280,NY,11737
Kathryn Curtis,Cadillac,Fleetwood,PA,18807
Brandon Osborne,Porsche,914-2,PA,13284
Barbara King,Ford,Pantera,CT,12730
Wayne Blake,Chrysler,Imperial,PA,16251
Daniel Leonard,Lincoln,Continental,NY,18901
Melissa Garcia,Volvo,142E,NJ,9152
Crystal Turner,Fiat,128,MA,11434
Crystal Turner,Porsche,914-2,MA,18262
Crystal Turner,AMC,Javelin,MA,12565
Kim Wilkinson,Ferrari,Dino,NY,9882
Brian Ellis,Ferrari,Dino,MA,11120
Leah Trujillo,Ford,Pantera,MA,10670
Gary Riggs,Mazda,RX4,MA,8203
Stephen Mosley,Porsche,914-2,RI,12193
Tiffany Riley,Pontiac,Firebird,NY,14570
John Lloyd,Fiat,X1-9,VT,16553
Bryan Meyer,Duster,360,NJ,8814
Sharon Odom,Dodge,Challenger,VT,13527
Sharon Odom,Dodge,Challenger,VT,11383
Kristine Wright,AMC,Javelin,MA,18308
Kristine Wright,Ford,Pantera,MA,12990
Joshua Cowan,Lincoln,Continental,ME,10846
Bradley Coleman,Mazda,RX4b,PA,16299
Ryan Smith,Ford,Pantera,NY,19927
Wayne Guerra,Hornet,Sportabout,NY,16039
Douglas Edwards,Lotus,Europa,NY,8541
Ashley Wagner,Hornet,4,CT,13567
Sandra Jensen,Datsun,710,ME,18701
Vernon Kelly,Volvo,142E,CT,17953
Vernon Kelly,Duster,360,CT,14463
Monica Davis,Mazda,RX4b,NY,15317
Monica Davis,AMC,Javelin,NY,16139
Abigail Spencer,Ferrari,Dino,NY,18526
James Miles,AMC,Javelin,PA,10360
Brenda Bowers,Lincoln,Continental,RI,19660
Christopher Taylor,Fiat,128,NY,12747
Jaime Chavez,Camaro,Z28,MA,17332
Lisa Wilson,Lotus,Europa,NY,12458
Lisa Wilson,Volvo,142E,NY,13052
John Foster,Honda,Civic,NY,18237
Christian Perry,Dodge,Challenger,RI,15357
Katherine Hanna,Honda,Civic,MA,17543
Louis Jackson,Lotus,Europa,NY,19161
Tracy Camacho,Porsche,914-2,NJ,16055
Kevin Burns,Datsun,710,VT,9490
Kevin Burns,Merc,240D,VT,11427
James Morris,AMC,Javelin,NY,18879
Jennifer Simon,Maserati,Bora,NJ,17572
Lisa Anderson,Ferrari,Dino,CT,14786
Alyssa Landry,Duster,360,NY,16242
Alyssa Landry,Datsun,710,NY,8277
Krista Welch,Merc,280,NY,18449
Brian Nash,Volvo,142E,CT,18199
Lori Wong,Dodge,Challenger,CT,9701
Lori Wong,Lincoln,Continental,CT,11888
Daniel Wagner,Lotus,Europa,RI,14336
Mark Duncan,Ferrari,Dino,VT,8204
Mark Duncan,Cadillac,Fleetwood,VT,10966
Courtney Washington,Duster,360,RI,14278
Steven Williams,Camaro,Z28,NY,17149
Juan Phillips,Merc,280,NY,12804
Christopher Martinez,Dodge,Challenger,NY,12553
Earl Reilly,Ferrari,Dino,NH,15025
Jose Williams,Maserati,Bora,NY,10589
John Swanson,Ferrari,Dino,NY,16760
Lindsay Davis,Mazda,RX4,NY,8480
Patrick Morrison,Toyota,,NY,19132
Laura Huber,Ferrari,Dino,MA,15687
Heather Wilcox,Hornet,Sportabout,RI,14683
Jeremy Evans,Volvo,142E,RI,14818
Emily Bryan,Duster,360,ME,13843
Emily Bryan,Volvo,142E,ME,19256
Steven Simpson,Merc,450SL,NY,16133
Marcus Houston,AMC,Javelin,NY,15002
Marcus Houston,Volvo,142E,NY,14558
Steven Jordan,Ford,Pantera,PA,19137
Steven Jordan,Dodge,Challenger,PA,16047
Jacqueline Jones,Pontiac,Firebird,PA,8641
Jacqueline Jones,Datsun,710,PA,17510
Erica Carroll,Toyota,Corolla,RI,13526
Peter Hernandez,Ford,Pantera,NY,15991
Matthew Gonzalez,Duster,360,CT,17818
David Bailey,Datsun,710,NH,8235
Barbara Hobbs,Volvo,142E,MA,17559
Jade Harris,Toyota,Corona,MA,17153
George Lindsey,Cadillac,Fleetwood,NJ,13000
Diana Black,Chrysler,Imperial,NY,14939
Tara Crosby,Honda,Civic,CT,10563
George Vaughn,Honda,Civic,NY,13044
Judy Harper,Fiat,128,CT,10992
Judy Harper,Camaro,Z28,CT,9515
Judy Harper,Porsche,914-2,CT,13876
Tiffany Vega,Datsun,710,MA,16706
Craig Clark,Fiat,X1-9,RI,15148
Craig Clark,Datsun,710,RI,10417
Angela Taylor,Fiat,128,MA,10423
Stacy Alexander,Honda,Civic,NY,14127
Tiffany Lowery,Volvo,142E,CT,9432
Tiffany Lowery,Datsun,710,CT,14924
Logan Howe,Hornet,4,ME,10391
Caleb Wade,Lotus,Europa,NJ,18554
Amanda Vincent,Ford,Pantera,NY,18904
Julie Wilkinson,Ford,Pantera,ME,13639
Valerie Lynch,Datsun,,MA,8797
Thomas Harris,Ford,Pantera,NY,8675
Kayla Spencer,Fiat,X1-9,MA,15016
Carrie Fitzgerald,Toyota,Corona,VT,18339
Carrie Fitzgerald,Ford,Pantera,VT,12663
Angela Williamson,Honda,Civic,NY,12677
Jennifer James,Chrysler,Imperial,ME,12831
Jennifer James,Cadillac,Fleetwood,ME,14110
Ariel Jones,Porsche,914-2,NY,19060
Ariel Jones,Ford,Pantera,NY,18160
Brenda Cook,Datsun,710,VT,14886
Brenda Cook,Toyota,Corona,VT,16675
Gabriel Mccarthy,Porsche,914-2,CT,10653
Cheryl Reyes,Datsun,710,CT,13053
Christopher Mcdowell,Ferrari,Dino,NY,14576
Christopher Mcdowell,Mazda,RX4,NY,15802
Brenda Owens,Volvo,142E,NJ,12905
Tracey Edwards,Fiat,X1-9,PA,16806
Tracey Edwards,Duster,360,PA,18277
Alyssa Wilson,Lincoln,Continental,NY,12115
Michael Cruz,Dodge,Challenger,CT,8489
Michael Cruz,Cadillac,Fleetwood,CT,13343
Brenda Barker,AMC,Javelin,CT,13398
Philip White,Pontiac,Firebird,NH,10304
Suzanne Stokes,Maserati,Bora,NH,15060
Suzanne Stokes,Lincoln,Continental,NH,9954
Hannah White,Toyota,Corolla,NY,11617
James Mcdonald,Porsche,914-2,MA,17052
Heather Garrison,Fiat,X1-9,MA,16117
Stephanie Mccoy,Duster,360,NY,8357
Stephanie Mccoy,Maserati,Bora,NY,11217
Danielle Gillespie,Cadillac,Fleetwood,CT,15700
Johnny Wiggins,Pontiac,Firebird,NH,14131
Matthew Boone,Porsche,914-2,NJ,10641
Melissa Reyes,Lincoln,Continental,NY,11235
John Miller,Datsun,,MA,16743
John Miller,Toyota,Corona,MA,11970
John Miller,Mazda,RX4b,MA,9408
Rebecca Galloway,Fiat,X1-9,NJ,9728
Rebecca Galloway,Toyota,,NJ,15540
Andrea Mejia,Maserati,Bora,MA,18742
Isaac Tucker,Honda,Civic,PA,9112
Patrick Buckley,Cadillac,Fleetwood,ME,18237
Lisa Andrews,Ferrari,Dino,NJ,12787
Rachael Arnold,Lincoln,,CT,18815
Mitchell Ruiz,Camaro,Z28,NJ,16684
Mitchell Ruiz,Lotus,Europa,NJ,14797
Anne Palmer,Mazda,RX4b,NY,19656
Kathryn Hart,Pontiac,Firebird,NJ,16331
Daniel Castillo,Hornet,Sportabout,NY,18360
Daniel Castillo,Dodge,Challenger,NY,19169
Alexander Peterson,Fiat,128,NH,10676
Tammy Lutz,Mazda,RX4b,NY,9035
Thomas Johnson,Maserati,Bora,VT,13286
Bruce Cameron,Datsun,710,NY,8721
Tamara Wright,Pontiac,Firebird,NY,18020
Lori Hurley,Fiat,X1-9,MA,9485
Crystal Harrington,Mazda,RX4b,CT,11020
Linda Larson,Dodge,Challenger,RI,19203
Katelyn Wilson,Chrysler,Imperial,PA,19456
Michael Walters,Camaro,Z28,NY,17169
Kevin Maxwell,Volvo,142E,NJ,9271
Todd Jimenez,Hornet,Sportabout,NJ,16200
Todd Jimenez,Datsun,710,NJ,10724
Todd Jimenez,Camaro,Z28,NJ,9261
Jared Woods,Chrysler,Imperial,PA,19319
Jared Woods,Pontiac,Firebird,PA,18143
Sierra Skinner,Chrysler,Imperial,PA,16410
William Henderson,Pontiac,Firebird,NY,10630
William Henderson,Chrysler,Imperial,NY,18465
Bonnie Clark,Porsche,914-2,NJ,19600
Thomas Sullivan,Fiat,128,NJ,17778
Sabrina Martinez,Datsun,710,PA,19810
Ryan Thompson,Mazda,RX4,NY,14643
Sally Williams,Mazda,RX4b,NJ,14322
Antonio Obrien,Duster,360,NH,11344
Ellen Scott,Lotus,Europa,RI,14731
Ellen Scott,Volvo,142E,RI,16028
Luis Medina,Duster,360,MA,14030
Michael Carter,Honda,Civic,NY,13112
Jennifer Joyce,Dodge,Challenger,NY,12429
Jennifer Joyce,Mazda,RX4b,NY,13310
Patrick Rodriguez,Datsun,710,RI,8967
Susan Johnson,Camaro,Z28,ME,17199
Elizabeth Weber,Fiat,128,NY,12562
Kimberly Alvarez,Hornet,Sportabout,NJ,15308
Thomas Park,Cadillac,Fleetwood,NJ,17647
James Huff,Lincoln,Continental,MA,18305
Melissa Sanchez,Hornet,4,CT,13523
Barbara Parrish,Dodge,Challenger,NY,17348
Amanda Miller,Toyota,Corona,NJ,16739
Karen Spencer,Porsche,914-2,PA,14898
Jennifer Smith,Mazda,RX4,NJ,9999
Sarah Hill,Duster,360,NY,9678
Sarah Hill,Honda,Civic,NY,19656
Sarah Hill,Fiat,X1-9,NY,16475
Chase Washington,Chrysler,Imperial,CT,10354
Julian Olson,AMC,Javelin,NY,14009
Nicholas Conway,Datsun,710,CT,13848
Lisa Porter,Toyota,Corona,NJ,13828
Bradley Wallace,Honda,Civic,MA,18097
Anthony Harris,Camaro,Z28,NY,19857
Anthony Harris,Dodge,Challenger,NY,11111
Edward Watkins,Mazda,RX4,NJ,9728
Edward Watkins,Porsche,914-2,NJ,12271
Joe Jackson,Camaro,Z28,NY,11141
Brianna Barron,Merc,450SLC,NY,12372
John White,Ford,Pantera,CT,10165
John White,Chrysler,Imperial,CT,9492
Stephen Lynch,AMC,Javelin,NJ,17853
Natalie Barnes,Camaro,Z28,PA,19849
Jeremiah Snyder,Toyota,Corona,PA,13869
James Shaw,Lincoln,Continental,NY,18175
Kayla Sherman,Hornet,4,MA,14167
Cynthia Thomas,Mazda,RX4b,NJ,19333
Jermaine Harrison,Porsche,914-2,MA,17925
Kyle Carrillo,Duster,360,NJ,19639
Chris Nguyen,Dodge,Challenger,RI,12228
Sharon Fisher,Duster,360,MA,17199
Yesenia Carlson,AMC,Javelin,CT,9582
Courtney Green,Pontiac,Firebird,NY,14699
John Perez,Camaro,Z28,NY,9398
Lori Johnson,Ferrari,Dino,NY,9619
Lori Johnson,Cadillac,Fleetwood,NY,9026
Calvin Gomez,Ford,Pantera,ME,18773
Travis Potter,Ford,Pantera,RI,12955
Joseph Myers,Hornet,Sportabout,MA,17390
Nancy Marshall,Fiat,X1-9,NY,19844
Nancy Marshall,Datsun,710,NY,10313
Christopher Hester,Camaro,Z28,NJ,8841
Christopher Hester,Lotus,Europa,NJ,17436
Stephanie Jackson,AMC,Javelin,MA,13643
Jessica Perez,Honda,Civic,MA,13210
Jennifer Ball,Ferrari,Dino,MA,12762
Ryan Smith,AMC,Javelin,ME,10491
Laura Colon,Hornet,Sportabout,NY,17665
Robin Brown,AMC,Javelin,PA,19424
Nicholas Nichols,Lincoln,Continental,NY,10596
Phillip Evans,Porsche,914-2,NY,15038
Carrie Miller,Dodge,Challenger,NH,8371
Carrie Miller,Ferrari,Dino,NH,17102
Danielle Jacobs,Ford,Pantera,MA,10030
Kathleen Young,Honda,Civic,MA,10455
Kathleen Young,AMC,Javelin,MA,19080
Randall Shea,Chrysler,Imperial,NY,15968
Randall Shea,Ford,Pantera,NY,11192
Brian Cunningham,Camaro,Z28,NJ,16770
Walter Simpson,Mazda,RX4b,PA,13901
Brittany Watson,Chrysler,Imperial,VT,9265
Brittany Watson,Datsun,710,VT,18693
Robyn Herrera,Lincoln,Continental,NY,19219
Hannah Hatfield,Merc,450SE,PA,10181
Grace Faulkner,Camaro,Z28,NJ,14062
Grace Faulkner,Pontiac,Firebird,NJ,11353
Logan Harris,Merc,450SLC,NJ,11776
Catherine Sanders,Honda,Civic,NJ,19602
Catherine Sanders,Camaro,Z28,NJ,9232
Benjamin Gallagher,AMC,Javelin,VT,11693
Henry Escobar,Dodge,Challenger,MA,12919
Henry Escobar,Duster,360,MA,14205
Matthew Gregory,Duster,360,CT,17937
Zachary Rodriguez,Maserati,Bora,NY,10690
Donna Garcia,Porsche,914-2,NY,10457
Joel Hatfield,Merc,240D,PA,12750
Jacqueline Le,Volvo,142E,MA,11461
Kevin Peters,AMC,Javelin,NY,11604
Kevin Peters,Mazda,RX4,NY,11495
Marc Davidson,Chrysler,Imperial,MA,12708
Luis Hicks,Mazda,RX4,NY,14811
John Patterson,Ford,Pantera,NY,9938
John Patterson,Ford,Pantera,NY,8457
Paula Baxter,Dodge,Challenger,NY,18626
Jessica Smith,Mazda,RX4,MA,17706
Mary Johnson,Duster,,NJ,15162
Mario Lamb,Chrysler,Imperial,NJ,18273
Sheila Barry,Volvo,142E,CT,12687
Sheila Barry,Merc,,CT,13038
Walter Benson,Mazda,RX4,MA,17146
Scott Thomas,Duster,360,CT,11665
Scott Thomas,Porsche,914-2,CT,9145
Crystal Cummings,Chrysler,Imperial,RI,10562
Shane Smith,Hornet,Sportabout,PA,16409
Mark Marsh,Ferrari,Dino,PA,14741
Patricia Hinton,Toyota,Corona,CT,13603
Derek Smith,Ferrari,Dino,NY,9483
Derek Smith,Maserati,Bora,NY,9324
Richard Rubio,Camaro,Z28,VT,8261
Richard Rubio,Toyota,Corolla,VT,19219
Wendy Watts,Maserati,Bora,NY,14770
Jennifer Drake,Dodge,Challenger,ME,14617
Christine Roberts,AMC,Javelin,MA,11732
Debbie Hooper,Porsche,914-2,NJ,19703
Thomas Rogers,Fiat,128,NJ,18401
Taylor Thompson,Hornet,Sportabout,VT,9917
Brenda Goodwin,Chrysler,Imperial,VT,19609
Brenda Goodwin,Pontiac,Firebird,VT,15475
Tammy Huffman,Merc,280C,NJ,19097
Tammy Huffman,Ford,Pantera,NJ,14662
Jesse Knapp,Volvo,142E,VT,10776
Gregory Medina,Chrysler,Imperial,NH,14459
Daniel Perez,Toyota,Corona,MA,8387
Jason Jackson,Lotus,Europa,NJ,16733
Andrew Rose,Cadillac,Fleetwood,NJ,15462
Jaime Gonzales,Porsche,914-2,CT,8973
Jaime Gonzales,Honda,Civic,CT,12845
Robert Taylor,Merc,230,MA,13875
Christopher Ramirez,Cadillac,Fleetwood,NJ,8267
Carla Pacheco,Pontiac,Firebird,NY,8603
Katie Strickland,Pontiac,Firebird,NJ,18920
Joe Hull,Chrysler,Imperial,RI,11144
Holly Underwood,Camaro,Z28,NH,9883
Donald Ochoa,Datsun,710,NJ,9565
Donald Ochoa,Volvo,142E,NJ,15640
Donald Ochoa,Datsun,710,NJ,10536
Margaret Duncan,Chrysler,Imperial,NH,16219
Stephanie Brown,Ford,Pantera,MA,11559
Rachel Owens,AMC,Javelin,RI,9181
Bonnie Walters,Porsche,914-2,NY,8448
Danny Howard,Mazda,RX4,PA,9055
Holly Mejia,Toyota,Corona,NJ,9886
Anthony Anderson,Lotus,Europa,MA,19205
Rachael Greene,Lincoln,Continental,NY,11083
Cody Parker,Porsche,914-2,NY,12780
Cody Parker,Cadillac,Fleetwood,NY,11355
Harold Elliott,AMC,Javelin,VT,17478
Harold Elliott,Porsche,914-2,VT,9248
Stanley Morales,Toyota,Corolla,NY,16604
Kimberly Wagner,Pontiac,Firebird,ME,9105
Alexa Walton,Duster,360,NY,9979
Jacob Rubio,Camaro,Z28,VT,8598
Eric Logan,Toyota,Corona,NY,12846
Joshua Garcia,Mazda,RX4,NY,15266
Jennifer Castillo,Honda,Civic,NY,13973
Roger Nguyen,Toyota,,NY,18384
Jeremy Kent,Duster,360,MA,13472
Leslie Armstrong,Dodge,Challenger,ME,17933
Angela Payne,Porsche,914-2,MA,17143
Sonya Love,Fiat,X1-9,RI,14477
Jeremy Drake,Cadillac,Fleetwood,NJ,18715
Chad Harrison,Datsun,710,CT,9381
Lindsey Holland,Volvo,,NY,8838
Alexis Jones,Dodge,Challenger,MA,12776
James Scott,Porsche,914-2,NY,10633
Michelle Cortez,Hornet,Sportabout,VT,11435
Kelsey Harper,Dodge,Challenger,VT,19386
Samantha Harris,Toyota,Corolla,CT,12546
Maria Gordon,Honda,Civic,NY,14031
Julian Preston,Dodge,Challenger,RI,11856
Victoria Hansen,Dodge,,RI,17709
Todd Meyer,Toyota,Corona,NY,12044
Michelle Wu,Chrysler,Imperial,NJ,17526
Michelle Wu,Cadillac,Fleetwood,NJ,19234
Michelle Wu,Pontiac,Firebird,NJ,17193
Marvin Romero,Dodge,Challenger,PA,14635
William Torres,Lincoln,Continental,NY,9380
Lindsey Taylor,Ford,Pantera,NJ,13937
Joshua Daugherty,Dodge,Challenger,NY,14419
John Gallagher,Dodge,Challenger,MA,11511
John Gallagher,AMC,Javelin,MA,10701
John Rogers,Toyota,Corolla,MA,14432
Chelsea Preston,Maserati,Bora,PA,17744
Timothy Valenzuela,Ford,Pantera,MA,12640
Timothy Valenzuela,Chrysler,Imperial,MA,8381
Heather Patel,Datsun,710,CT,11069
Kelly Willis,Porsche,914-2,NY,15025
Jeffery Coleman,Lotus,Europa,VT,12198
Sophia Hooper,Pontiac,Firebird,RI,17065
David Reynolds,Honda,Civic,MA,16191
Joshua Fuller,Merc,280C,RI,17788
Ernest Dean,Duster,360,VT,8520
Tracey Greene,Ford,Pantera,NH,9217
Lydia Webster,Maserati,Bora,NJ,12149
Lydia Webster,Lincoln,Continental,NJ,9607
Sydney Wilson,Fiat,128,NJ,14049
Eric Tapia,AMC,Javelin,ME,17175
Adam Hernandez,Lincoln,Continental,VT,17914
James Schwartz,Hornet,4,NJ,11411
Travis Thompson,Pontiac,Firebird,NY,13875
Dorothy Dixon,Porsche,914-2,NY,12777
Ashley Cunningham,Hornet,4,VT,19861
Alicia Harris,Volvo,142E,MA,9834
Kristen Collins,Volvo,142E,CT,11474
Franklin Bryant,Pontiac,Firebird,NY,8738
Kara Callahan,Ferrari,Dino,ME,16216
Antonio Freeman,Lincoln,Continental,NY,10520
Steven Vargas,Camaro,Z28,NJ,8542
Keith Ross,Camaro,Z28,NY,18844
Thomas Murillo,Ford,Pantera,CT,16033
Thomas Murillo,Hornet,4,CT,12294
Aaron Carlson,Fiat,X1-9,MA,16636
Aaron Carlson,Fiat,128,MA,9262
Martin Morrison,Merc,450SE,CT,8317
Peter Bautista,Honda,Civic,PA,14708
Peter Bautista,Merc,280,PA,16431
Daniel Johnson,Hornet,4,NY,13166
